#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
83000,83.00000000003226,-206534.65781884815,3717.444955444662,-202817.2128634035,298.36858838182087,0.9813696641655619,336
84000,84.00000000003703,-206423.32539366782,3601.2137329159304,-202822.1116607519,289.0396685975486,0.9787209634821035,336
85000,85.00000000004181,-206391.7286273201,3608.878364770673,-202782.85026254941,289.6548452617293,0.9978294682589028,336
86000,86.00000000004658,-206486.00528874734,3754.4767665918916,-202731.52852215545,301.34082585934914,0.9938169212003527,336
87000,87.00000000005136,-206340.99349992405,3705.690368982032,-202635.30313094202,297.4251448575986,0.9765352873595682,336
88000,88.00000000005613,-206225.75158678455,3629.0034130914137,-202596.74817369314,291.27011659205004,0.9836338028194127,336
89000,89.00000000006091,-206254.23523786516,3718.852448559366,-202535.3827893058,298.4815562236651,0.9816578651577494,336
90000,90.00000000006568,-206383.82903666023,3819.410279843025,-202564.4187568172,306.5525024059076,0.9970525944821577,336
91000,91.00000000007046,-206476.4319880878,3829.565882660798,-202646.866105427,307.3676087257651,0.9800255243892266,336
92000,92.00000000007523,-206449.07694724578,3822.5340871522203,-202626.54286009356,306.8032246058036,0.9763362633823495,336
93000,93.00000000008001,-206376.12353770208,3784.4306418653578,-202591.69289583672,303.74497591107206,0.9890080027739933,336
94000,94.00000000008478,-206457.51181203252,3759.5520895738155,-202697.9597224587,301.7481800964255,0.9873024790069094,336
95000,95.00000000008956,-206498.67985731672,3806.547218917869,-202692.13263839885,305.5200907961844,1.0134884868363572,336
96000,96.00000000009433,-206455.3177717231,3794.2252051985124,-202661.09256652457,304.5311045748602,1.008003023226813,336
97000,97.0000000000991,-206498.6209163174,3732.681342152762,-202765.93957416463,299.59148724074737,0.9995217271015988,336
98000,98.00000000010388,-206613.8462256038,3852.3491254728287,-202761.49710013098,309.1962313625656,0.9871221207422674,336
99000,99.00000000010866,-206308.4829598835,3520.312331453548,-202788.17062842994,282.54638161098853,0.9924800621950913,336
100000,100.00000000011343,-206427.8673002741,3662.2172675691545,-202765.65003270496,293.93591823646403,1.0021684240844257,336
101000,101.0000000001182,-206499.36819345018,3716.9420888461173,-202782.42610460406,298.3282274352701,1.0092788936331911,336
102000,102.00000000012298,-206494.9280970597,3684.916264615953,-202810.01183244374,295.75777916183347,0.9879490910151684,336
103000,103.00000000012776,-206434.66064322033,3660.2570749286097,-202774.40356829172,293.7785897707771,0.9874610036248823,336
104000,104.00000000013253,-206422.6756654851,3726.351931558922,-202696.32373392617,299.08347775390695,1.0211044036778159,336
105000,105.0000000001373,-206321.44504070963,3665.9483004976064,-202655.49674021202,294.2353774191582,0.9952186992155493,336
106000,106.00000000014208,-206370.93178412644,3740.676237440668,-202630.25554668577,300.2331714216575,0.9994901969376044,336
107000,107.00000000014685,-206527.46686142185,3721.3360353708267,-202806.13082605103,298.68089321451254,1.0123922870531359,336
108000,108.00000000015163,-206433.7020250954,3641.16681698896,-202792.53520810645,292.24637251361077,1.0012394810636314,336
109000,109.0000000001564,-206396.45999282564,3648.6732243364677,-202747.78676848917,292.848849804045,0.9804155918431028,336
110000,110.00000000016118,-206450.85839689136,3700.2295109676197,-202750.62888592374,296.98684690923835,0.98841367828331,335
111000,111.00000000016595,-206452.48739765934,3626.984689965844,-202825.5027076935,291.10809036798247,0.9993571662796502,335
112000,112.00000000017073,-206382.0920278061,3628.2096294295043,-202753.8823983766,291.2064061367446,1.0001710235260266,335
113000,113.0000000001755,-206575.8965091336,3730.9491039346904,-202844.9474051989,299.4524547929071,0.9751144074660395,335
114000,114.00000000018028,-206454.98195140256,3636.361873967573,-202818.62007743499,291.8607194417485,0.9734447264908035,336
115000,115.00000000018505,-206550.69366576982,3769.52204846777,-202781.17161730205,302.548386312541,0.9988142060130081,335
116000,116.00000000018983,-206423.91977317975,3558.904476126656,-202865.0152970531,285.6438541672069,1.005596791214862,335
117000,117.0000000001946,-206534.8715346117,3743.1380274239928,-202791.73350718772,300.4307589612232,1.0004391879872503,336
118000,118.00000000019938,-206544.66002344084,3777.786325536552,-202766.8736979043,303.211691543032,0.9993716696462784,336
119000,119.00000000020415,-206361.24596124023,3625.75612455199,-202735.48983668824,291.0094835741604,0.9794503043850188,336
120000,120.00000000020893,-206509.75462137038,3734.919847872574,-202774.8347734978,299.77115359753543,0.9993880496886023,335
121000,121.0000000002137,-206467.2795389003,3708.4171473975293,-202758.86239150277,297.64400082894804,0.9840228537364745,335
122000,122.00000000021848,-206429.63296812226,3701.276516071055,-202728.3564520512,297.070881357222,0.9854171897966697,335
123000,123.00000000022325,-206410.06746264268,3660.1373983900994,-202749.93006425258,293.7689843239485,1.0116191199689684,335
124000,124.00000000022803,-206479.70791850874,3749.115059959702,-202730.59285854903,300.9104859731268,0.9852049441092086,335
125000,125.0000000002328,-206406.70488826506,3610.870993779041,-202795.83389448602,289.81477712663144,0.9966162870904176,335
126000,126.00000000023758,-206530.02298635512,3800.9937378033064,-202729.02924855181,305.0743587569432,1.0004974162163964,335
127000,127.00000000024235,-206430.39308014596,3718.6524938279763,-202711.740586318,298.4655075096532,0.9933094241259636,335
128000,128.00000000024713,-206359.05717861053,3647.4705738890916,-202711.58660472144,292.7523229904402,0.9889334540278079,335
129000,129.0000000002519,-206359.875249635,3737.6317433607765,-202622.24350627422,299.9888150392923,0.9731945282196383,335
130000,130.00000000025668,-206396.64381650407,3688.4117575844284,-202708.23205891965,296.0383334982669,0.9969457163287209,335
131000,131.00000000026145,-206471.12877080578,3717.478736612946,-202753.65003419283,298.3712997170566,1.0183874729219815,335
132000,132.00000000026623,-206395.10937358564,3677.2031925553456,-202717.9061810303,295.13871460260174,0.990243579495069,335
133000,133.000000000271,-206689.27717491766,3865.343496667221,-202823.93367825044,310.2391821625503,1.0031439607014294,335
134000,134.00000000027578,-206555.8953347868,3770.7778285124805,-202785.1175062743,302.64917739990045,0.9965222876153373,335
135000,135.00000000028055,-206550.36067385523,3805.790773741901,-202744.56990011333,305.459377192608,1.0086808739724293,335
136000,136.00000000028533,-206375.3259260651,3722.387092297431,-202652.93883376766,298.7652528688607,0.9962379075719509,335
137000,137.0000000002901,-206289.14261284363,3743.7954818429425,-202545.3471310007,300.4835273947195,0.9782084491615146,335
138000,138.00000000029488,-206452.78921367702,3814.3959222813137,-202638.3932913957,306.15004135933896,0.9937176751937364,335
139000,139.00000000029965,-206342.87328304932,3738.622605658602,-202604.25067739072,300.068343368192,0.9849282575743936,335
140000,140.00000000030442,-206316.4826955578,3768.96749419719,-202547.5152013606,302.50387682366426,0.9868909353605598,335
141000,141.0000000003092,-206192.0820095938,3679.479257931933,-202512.60275166188,295.3213955626741,0.9851873859696518,335
142000,142.00000000031397,-206200.13576552254,3788.7745038662106,-202411.36126165633,304.0936218194456,0.9856221485946095,335
143000,143.00000000031875,-206154.3789488479,3875.816695505753,-202278.56225334216,311.0797792906176,0.9827739155687996,335
144000,144.00000000032352,-206250.24207428438,3892.9506453512004,-202357.29142893318,312.45497986253287,0.993712567737931,335
145000,145.0000000003283,-206217.13137654454,3808.3453446347266,-202408.7860319098,305.66441148910707,0.9874993168734328,335
146000,146.00000000033307,-206182.50395207605,3639.740806418471,-202542.76314565758,292.1319184286051,0.9888107570334607,335
147000,147.00000000033785,-206109.26856146037,3590.5683784224093,-202518.70018303796,288.1852539576212,0.9881874597708102,335
148000,148.00000000034262,-206352.55930922998,3715.564173322171,-202636.9951359078,298.21763354222884,1.0120652927549674,335
149000,149.0000000003474,-206454.64657487214,3793.7708412068896,-202660.87573366525,304.4946365317777,1.0028848612629508,335
150000,150.00000000035217,-206306.95790425205,3739.6624840851873,-202567.29542016686,300.1518058167145,0.9909396088524403,335
151000,151.00000000035695,-206233.6956633446,3707.0091406702995,-202526.6865226743,297.5309917636705,0.993117854400612,335
152000,152.00000000036172,-206079.21272248737,3541.3171755915973,-202537.89554689577,284.23226688158843,0.9854486653721374,335
153000,153.0000000003665,-206202.41956601295,3640.6858481722884,-202561.73371784066,292.207769121064,0.9859732571410255,335
154000,154.00000000037127,-206375.2986206781,3813.198533640243,-202562.10008703786,306.0539368674467,0.9880135371269783,335
155000,155.00000000037605,-206281.08999551303,3751.5595993818715,-202529.53039613116,301.10668895269436,0.9892655619246561,335
156000,156.00000000038082,-206189.66886278876,3738.9481887840666,-202450.7206740047,300.094475235297,0.9799228933673171,335
157000,157.0000000003856,-206407.23969562806,3802.2165782502852,-202605.02311737777,305.17250605498106,0.9989487993012917,335
158000,158.00000000039037,-206264.77254916594,3665.904701925814,-202598.86784724012,294.2318781220666,0.9891700099092552,335
159000,159.00000000039515,-206427.57034066578,3903.6837928337045,-202523.88654783208,313.3164409202301,1.0018649506912298,335
160000,160.00000000039992,-206418.44355147393,3870.0979238590226,-202548.3456276149,310.62078074619694,0.9927752189757095,335
161000,161.0000000004047,-206273.34373285525,3758.6806791801937,-202514.66305367506,301.67823918481486,1.0110701635306993,335
162000,162.00000000040947,-206243.51482550014,3735.9044069871306,-202507.610418513,299.8501760219989,0.9778527651602771,335
163000,163.00000000041425,-206174.5119000572,3533.8537307525985,-202640.6581693046,283.6332378367021,0.9977176233957091,335
164000,164.00000000041902,-206269.1103780763,3603.270627772552,-202665.83975030374,289.2047585510451,0.9864899969968829,335
165000,165.0000000004238,-206541.77630673687,3752.827855608426,-202788.94845112844,301.20848140007655,0.9795837509442562,335
166000,166.00000000042857,-206464.08619201538,3701.578403783962,-202762.50778823142,297.0951113893622,0.9790804821243202,335
167000,167.00000000043335,-206545.03695149228,3693.938953662291,-202851.09799783,296.4819558548121,0.9975978814207973,335
168000,168.00000000043812,-206599.2705642685,3830.0284679830074,-202769.24209628548,307.4047366271189,0.9770581080604979,335
169000,169.0000000004429,-206382.07410164806,3718.812068803003,-202663.26203284506,298.47831527429,0.9717537086705272,335
170000,170.00000000044767,-206424.77222056815,3664.213054580614,-202760.55916598754,294.09610356817893,0.9834287220088382,335
171000,171.00000000045245,-206576.80245855034,3782.082703774795,-202794.71975477555,303.5565263221513,0.989144112308481,335
172000,172.00000000045722,-206540.37052391833,3759.088033386739,-202781.2824905316,301.710934140903,0.9952884014838149,335
173000,173.000000000462,-206482.336541869,3686.1820378720295,-202796.15450399698,295.8593723216929,0.9994613699663452,335
174000,174.00000000046677,-206488.05095791677,3704.4043647083454,-202783.64659320842,297.32192792112966,0.9891151235299177,335
175000,175.00000000047154,-206338.7110003839,3675.0948923379183,-202663.61610804597,294.96949876556897,0.9931122916636977,335
176000,176.00000000047632,-206385.79261977156,3723.1610440961085,-202662.63157567545,298.82737158438033,0.9960472652470672,335
177000,177.0000000004811,-206276.04379432948,3659.378260181751,-202616.66553414773,293.7080545729162,0.9871657058172362,335
178000,178.00000000048587,-206298.9227557946,3696.6504052400123,-202602.2723505546,296.6995816675428,0.9965992397964412,335
179000,179.00000000049064,-206308.66016012724,3753.069670994533,-202555.5904891327,301.22788992293744,1.0029963775749782,335
180000,180.00000000049542,-206319.7416048238,3781.8255750392564,-202537.91602978454,303.5358887232696,0.9908360287676725,335
181000,181.0000000005002,-206192.92600641082,3738.6042177060153,-202454.3217887048,300.06686751918215,0.9895688187559685,335
182000,182.00000000050497,-206249.35801982597,3848.263247403316,-202401.09477242266,308.8682916925739,1.0078750068618212,335
183000,183.00000000050974,-206401.55990595304,3901.710034331307,-202499.84987162173,313.15802363491036,0.9923063685008314,335
184000,184.00000000051452,-206264.86951945655,3854.4785810234025,-202410.39093843315,309.36714516337815,0.9748948681222184,335
185000,185.0000000005193,-206313.40522834542,3822.0794218713418,-202491.32580647408,306.7667323807222,0.9696988218528265,335
186000,186.00000000052407,-206441.6281693507,3839.787185287103,-202601.8409840636,308.1879882263593,0.9976998857644285,335
187000,187.00000000052884,-206298.47967770856,3653.5994908064604,-202644.8801869021,293.2442405066005,0.9928694165795999,335
188000,188.00000000053362,-206392.19168566377,3657.2106836773455,-202734.98100198642,293.5340811181427,1.0150752585133835,335
189000,189.0000000005384,-206470.22380209216,3678.092601683107,-202792.13120040906,295.21010012387364,0.9921522353144689,335
