#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
144000,643.9999999916834,-210115.39519829978,2144.1921209818684,-207971.2030773179,172.09658354719545,0.9939540198818504,378
145000,644.9999999916597,-210156.48113579978,2184.499617001973,-207971.9815187978,175.33173318165345,0.9939540198818504,378
146000,645.9999999916361,-210157.94207329978,2149.677690241486,-208008.2643830583,172.53686486301308,0.9939540198818504,378
147000,646.9999999916124,-210176.17644829978,2132.1698672161438,-208044.00658108364,171.1316565803567,0.9939540198818504,379
148000,647.9999999915888,-210254.77019829978,2142.7694950099103,-208112.00070328987,171.9824011159461,0.9939540198818504,379
149000,648.9999999915651,-210291.11394829978,2161.8347665215842,-208129.2791817782,173.51261291900795,0.9939540198818504,379
150000,649.9999999915415,-210253.59832329978,2096.7050331626087,-208156.89329013717,168.2851874058096,0.9939540198818504,378
151000,650.9999999915178,-210306.07488579978,2095.7117792684585,-208210.36310653132,168.20546712323534,0.9939540198818504,378
152000,651.9999999914942,-210300.66082329978,2063.69910759537,-208236.9617157044,165.63607449687228,0.9939540198818504,378
153000,652.9999999914705,-210401.05144829978,2054.9856971239205,-208346.06575117586,164.93672103945255,0.9939540198818504,378
154000,653.9999999914469,-210342.66863579978,1995.0894581973553,-208347.57917760243,160.1293448786502,0.9939540198818504,379
155000,654.9999999914232,-210428.20769829978,2051.272485290887,-208376.9352130089,164.63869220882728,0.9939540198818504,379
156000,655.9999999913996,-210394.37957329978,2042.8043715052772,-208351.5752017945,163.9590266894311,0.9939540198818504,379
157000,656.999999991376,-210464.94988579978,2092.5114233782515,-208372.43846242153,167.94860100128187,0.9939540198818504,379
158000,657.9999999913523,-210437.91082329978,2032.7024365502875,-208405.2083867495,163.14822784544802,0.9939540198818504,379
159000,658.9999999913287,-210438.85613579978,1994.4596489798278,-208444.39648681995,160.07879529703277,0.9939540198818504,379
160000,659.999999991305,-210512.44988579978,2061.6814066465013,-208450.76847915328,165.47413031448193,0.9939540198818504,378
161000,660.9999999912814,-210495.19207329978,2006.798437866848,-208488.39363543293,161.06912792244785,0.9939540198818504,378
162000,661.9999999912577,-210497.69207329978,1940.5615375060588,-208557.13053579372,155.75283926281602,0.9939540198818504,378
163000,662.9999999912341,-210542.83269829978,1890.0751944747753,-208652.757503825,151.70071768916853,0.9939540198818504,378
164000,663.9999999912104,-210606.91082329978,1972.3111481341766,-208634.5996751656,158.3011181528395,0.9939540198818504,378
165000,664.9999999911868,-210553.92644829978,1820.0696496110468,-208733.85679868874,146.08195107655234,0.9939540198818504,378
166000,665.9999999911631,-210614.73894829978,1854.767732894048,-208759.97121540573,148.866879502605,0.9939540198818504,378
167000,666.9999999911395,-210714.05144829978,1928.6011465431075,-208785.45030175667,154.79287751196784,0.9939540198818504,378
168000,667.9999999911158,-210578.23894829978,1755.8763630669564,-208822.36258523283,140.92968641108698,0.9939540198818504,378
169000,668.9999999910922,-210702.80926079978,1852.9153441837407,-208849.89391661604,148.71820356758695,0.9939540198818504,378
170000,669.9999999910685,-210693.19988579978,1842.0852494028804,-208851.1146363969,147.84896135135082,0.9939540198818504,378
171000,670.9999999910449,-210666.40301079978,1778.8434285878902,-208887.5595822119,142.77306297775738,0.9939540198818504,378
172000,671.9999999910212,-210755.41082329978,1821.5431164186448,-208933.86770688114,146.20021408156782,0.9939540198818504,378
173000,672.9999999909976,-210781.80926079978,1834.3681464577094,-208947.44111434207,147.22957326632337,0.9939540198818504,378
174000,673.999999990974,-210804.19207329978,1830.869154191576,-208973.3229191082,146.9487380701825,0.9939540198818504,378
175000,674.9999999909503,-210766.09832329978,1791.089895655401,-208975.00842764438,143.7559856935991,0.9939540198818504,378
176000,675.9999999909267,-210769.91082329978,1785.5292990752496,-208984.38152422453,143.30968255473198,0.9939540198818504,378
177000,676.999999990903,-210736.41082329978,1782.3734904881567,-208954.03733281163,143.05639187669382,0.9939540198818504,378
178000,677.9999999908794,-210758.33269829978,1778.2318192841485,-208980.10087901563,142.72397415282904,0.9939540198818504,379
179000,678.9999999908557,-210721.02801079978,1743.4683515350334,-208977.55965926475,139.93379785596986,0.9939540198818504,379
180000,679.9999999908321,-210801.17644829978,1793.89769240038,-209007.2787558994,143.98134433678098,0.9939540198818504,378
181000,680.9999999908084,-210850.78582329978,1746.5479774358682,-209104.2378458639,140.18097397929895,0.9939540198818504,378
182000,681.9999999907848,-210760.02019829978,1676.5156271825545,-209083.50457111723,134.5600559195605,0.9939540198818504,378
183000,682.9999999907611,-210808.03582329978,1655.8630811558105,-209152.17274214397,132.90244670722637,0.9939540198818504,379
